nb_pret;jour_pret;annee_pret;type_lecteur;date_pub;indice;titre;ppn;num;mois_pret;id_lecteur
1;Vendredi;2015;M2;2009;25;La^méthodologie documentaire comme base d'un travail scientifique;PPN140440836;327824;1;person_239
1;Samedi;2019;M2;2016;616;ORL, chirurgie cervico-faciale;PPN191561487;397886;5;person_157
1;Vendredi;2018;M2;2009;658;L'intelligence collective en action;PPN131554387;118922;12;person_240
1;Mardi;2017;L3;2014;658;Finance d'entreprise;PPN178963704;352191;3;person_241
1;Vendredi;2015;M2;2014;616;Hématologie;PPN181011751;350276;5;person_242
1;Samedi;2018;M1;2001;658;Devenir e-DRH;PPN05982624X;26171;6;person_243
1;Mercredi;2018;M1;2011;658;L'entreprise co-créative;PPN152029850;308372;10;person_164
1;Mardi;2017;L1;2012;658;Crafting and executing strategy;PPN155418939;333720;5;person_244
1;Lundi;2015;L1;2013;616;Santé publique;PPN167606263;330532;1;person_245
1;Dimanche;2015;LE;2011;658;DSCG épreuve 5;PPN155127098;339231;3;person_246
1;Vendredi;2018;M2;2017;658;Analyse financière;PPN204172195;411747;12;person_247
1;Jeudi;2016;L1;2015;616;Réussite à la LCA;PPN189570393;395698;2;person_242
1;Mardi;2019;LC;2012;374;Formuler une problématique;PPN158011406;311306;3;person_248
1;Mardi;2016;LE;2006;576;Classification phylogénétique du vivant;PPN098181408;74312;1;person_249
1;Jeudi;2016;M2;2016;616;Néphrologie;PPN191070076;397927;12;person_250
1;Mercredi;2017;M1;2016;658;Finance d'entreprise;PPN19488189X;402697;2;person_251
1;Vendredi;2016;M1;2016;658;DCG 6;PPN194307743;403116;10;person_252
1;Lundi;2017;L3;2011;657;Analyse financière;PPN154386049;306291;9;person_253
1;Samedi;2015;L2;2012;657;Comptabilité générale;PPN163919771;325513;11;person_254
1;Mardi;2019;M1;2007;658;Méthodes et astuces pour... mieux négocier;PPN118369784;97888;1;person_255
1;Lundi;2017;L3;2014;420;200 % TOEIC;PPN178454478;348219;2;person_256
1;Mercredi;2017;DO;1994;658;Gérer les compétences dans les services publics;PPN003334015;91103;1;person_257
1;Lundi;2016;L3;2014;420;200 % TOEIC;PPN178454478;348219;3;person_258
1;Vendredi;2017;LE;2016;658;DCG 6;PPN192968041;403241;6;person_259
1;Vendredi;2018;L1;2017;420;Nouveau TOEIC ®;PPN201875810;409769;1;person_260
1;Vendredi;2016;M1;2009;420;Start talking;PPN137044720;356549;1;person_261
1;Mardi;2016;M2;2013;616;Endocrinologie, diabétologie, nutrition;PPN172787769;337783;11;person_185
1;Lundi;2016;M1;2010;658;L'entreprise au cœur du développement durable;PPN144805871;265625;6;person_262
1;Samedi;2019;M2;2014;616;Hématologie, onco-hématologie;PPN181651076;352987;4;person_263
1;Lundi;2018;M2;2016;658;Comprendre l'analyse financière;PPN191269948;400012;12;person_164
1;Vendredi;2018;M2;2014;658;La^boîte à outils de l'intelligence émotionnelle;PPN180723243;411705;12;person_264
1;Dimanche;2016;M1;2014;616;Questions isolées incontournables;PPN182464911;357572;4;person_119
1;Mercredi;2015;LE;2010;610;Biologie cellulaire et moléculaire de la cellule eucaryote;PPN146819527;268364;4;person_265
1;Mercredi;2018;M1;2016;658;Travailler avec les chinois;PPN191278742;410561;3;person_266
